filename,modelname,prompting,LOC,Cyclomatic Complexity,Halstead Volume,Maintainability Index,Levenshtein Distance
s569329761_pass@1.py,codellama,few,8,0,0,100.0,19
s353862024_pass@5.py,codellama,few,22,0,345.95,48.44,77
s323772822_pass@1.py,codellama,few,9,0,66.61,65.21,75
s214129181_pass@1.py,codellama,few,11,0,4.75,72.64,6
s370902130_pass@1.py,codellama,few,26,0,43.02,55.41,592
s373821703_pass@5.py,codellama,few,11,0,15.51,68.14,87
s421803874_pass@5.py,codellama,few,10,0,20.9,68.4,2
s368208835_pass@1.py,codellama,few,5,0,4.75,79.61,19
s040490758_pass@1.py,codellama,few,11,0,4.75,72.91,34
s051392851_pass@1.py,codellama,few,7,0,15.51,72.96,8
s946875575_pass@1.py,codellama,few,6,0,15.51,74.42,19
s171484205_pass@3.py,codellama,few,4,0,4.75,81.72,40
s250120618_pass@1.py,codellama,few,16,0,39.86,62.2,119
s017269283_pass@1.py,codellama,few,10,0,15.51,69.31,25
s198495041_pass@1.py,codellama,few,12,0,15.51,66.12,68
s118986297_pass@3.py,codellama,few,10,0,86.04,63.83,118
s245865840_pass@3.py,codellama,few,13,0,69.76,62.12,4
s820095650_pass@3.py,codellama,few,15,0,77.71,58.71,172
s965611824_pass@1.py,codellama,few,11,0,156.08,58.31,171
s082356343_pass@3.py,codellama,one,4,0,13.93,78.72,22
s996953065_pass@3.py,codellama,one,3,0,68.53,76.6,9
s725231104_pass@3.py,codellama,one,5,0,274.02,67.55,35
s901218275_pass@1.py,codellama,one,10,0,189.99,63.09,23
s142516772_pass@3.py,codellama,one,8,0,68.53,66.77,10
s625777569_pass@5.py,codellama,one,23,2.0,101.95,57.75,519
s543580433_pass@1.py,codellama,one,16,5.0,77.71,60.3,1
s661652946_pass@3.py,codellama,one,89,1.83,46.53,44.72,8
s095287762_pass@3.py,codellama,one,24,3.0,15.51,64.59,392
s354294286_pass@3.py,codellama,one,38,2.0,39.86,52.7,57
s512922599_pass@3.py,codellama,one,4,0,4.75,84.72,24
s948994129_pass@1.py,codellama,one,3,0,4.75,84.72,4
s006670201_pass@1.py,codellama,one,4,0,33.69,76.04,27
s342764925_pass@1.py,codellama,one,3,0,88.0,75.57,36
s435912433_pass@3.py,codellama,one,7,1.0,108.0,68.65,52
s258130823_pass@1.py,codellama,one,8,0,12.0,72.34,34
s859035826_pass@5.py,codellama,one,7,0,15.51,72.69,5
s255090983_pass@1.py,codellama,one,5,0,10.0,77.48,15
s413915184_pass@1.py,codellama,one,2,0,10.0,86.16,72
s004821086_pass@1.py,codellama,one,14,0,18.0,65.67,14
s693269647_pass@3.py,codellama,one,4,4.0,142.62,73.84,60
s993872842_pass@1.py,codellama,one,6,0,15.51,72.82,14
s006645469_pass@1.py,codellama,one,5,0,4.75,79.61,12
s541731237_pass@1.py,codellama,one,7,0,15.51,69.31,21
s044588462_pass@3.py,codellama,one,3,0,20.9,100.0,44
s789703302_pass@1.py,codellama,one,4,0,33.69,73.92,20
s644599577_pass@5.py,codellama,one,17,0,120.0,57.79,2
s490085492_pass@1.py,codellama,one,5,0,0,100.0,1
s589457088_pass@1.py,codellama,one,15,1.0,0,100.0,101
s041933512_pass@5.py,codellama,one,10,0,103.73,63.99,94
s756477557_pass@1.py,codellama,one,14,0,68.0,77.83,138
s185813191_pass@5.py,codellama,one,4,0,58.6,73.95,30
s277592678_pass@1.py,codellama,one,3,0,0,100.0,21
s353862024_pass@1.py,codellama,one,20,0,345.95,48.77,22
s765571034_pass@1.py,codellama,one,10,0,15.51,69.18,11
s214129181_pass@5.py,codellama,one,14,0,4.75,71.73,12
s373821703_pass@3.py,codellama,one,12,0,15.51,67.18,50
s287029907_pass@1.py,codellama,one,9,0,55.35,66.44,6
s421803874_pass@3.py,codellama,one,10,0,20.9,68.4,10
s368208835_pass@3.py,codellama,one,5,0,4.75,79.61,34
s040490758_pass@1.py,codellama,one,8,0,25.27,69.94,17
s828189570_pass@3.py,codellama,one,7,0,13.93,74.75,1
s051392851_pass@1.py,codellama,one,4,0,15.51,74.42,5
s946875575_pass@5.py,codellama,one,6,0,15.51,74.42,21
s171484205_pass@1.py,codellama,one,8,0,15.51,71.56,5
s017269283_pass@1.py,codellama,one,10,0,15.51,69.31,25
s198495041_pass@3.py,codellama,one,14,0,15.51,66.83,22
s245865840_pass@1.py,codellama,one,12,0,57.06,63.62,27
s820095650_pass@1.py,codellama,one,24,0,105.49,55.19,31
s965611824_pass@5.py,codellama,one,11,0,156.08,58.31,1
s082356343_pass@1.py,codellama,zero,4,0,13.93,78.72,22
s263691840_pass@1.py,codellama,zero,3,0,53.77,74.61,18
s295817617_pass@1.py,codellama,zero,3,0,13.93,81.45,22
s299227480_pass@5.py,codellama,zero,5,0,53.77,72.5,17
s371528449_pass@1.py,codellama,zero,4,0,53.77,77.34,50
s477555198_pass@3.py,codellama,zero,13,1.33,49.83,64.99,247
s531798554_pass@1.py,codellama,zero,4,0,53.77,74.61,31
s687420848_pass@3.py,codellama,zero,4,0,85.84,73.19,10
s996953065_pass@5.py,codellama,zero,2,0,68.53,80.44,23
s136888622_pass@1.py,codellama,zero,10,0,171.3,64.52,63
s170928938_pass@3.py,codellama,zero,7,0,184.48,65.56,43
s620663854_pass@1.py,codellama,zero,7,0,222.91,64.99,16
s867076447_pass@1.py,codellama,zero,9,0,168.56,63.46,175
s899881145_pass@1.py,codellama,zero,6,0,187.3,66.98,16
s901218275_pass@1.py,codellama,zero,14,1.0,171.3,60.68,282
s010390929_pass@5.py,codellama,zero,15,0,53.77,63.04,95
s095091093_pass@1.py,codellama,zero,5,0,68.53,69.63,2
s142516772_pass@1.py,codellama,zero,7,0,68.53,68.04,8
s203706589_pass@5.py,codellama,zero,6,0,68.53,66.91,1
s304863237_pass@1.py,codellama,zero,13,0,53.77,65.53,84
s374724809_pass@3.py,codellama,zero,9,0,66.61,65.74,45
s538701082_pass@5.py,codellama,zero,12,0,53.77,67.51,33
s736665972_pass@1.py,codellama,zero,10,0,55.51,66.43,39
s646573817_pass@1.py,codellama,zero,10,0,79.73,66.18,39
s657725502_pass@1.py,codellama,zero,11,0,69.76,63.7,149
s914039331_pass@1.py,codellama,zero,12,4.0,36.0,64.89,1
s935162273_pass@3.py,codellama,zero,13,0,185.44,59.28,68
s056071335_pass@1.py,codellama,zero,23,3.33,45.0,59.18,977
s082272685_pass@1.py,codellama,zero,75,1.86,45.0,48.34,1
s396380319_pass@3.py,codellama,zero,10,0,4.75,72.14,256
s476712717_pass@1.py,codellama,zero,34,3.2,99.91,51.89,479
s771095630_pass@1.py,codellama,zero,28,2.4,33.69,59.12,676
s921223902_pass@5.py,codellama,zero,31,2.2,20.9,70.1,295
s096014979_pass@1.py,codellama,zero,53,4.33,137.61,54.89,684
s247091116_pass@3.py,codellama,zero,52,3.0,77.71,49.2,153
s383138786_pass@5.py,codellama,zero,62,5.0,168.56,45.68,1112
s677932982_pass@3.py,codellama,zero,42,2.5,178.41,59.42,13
s713234703_pass@5.py,codellama,zero,35,3.33,77.71,64.87,1061
s898678511_pass@1.py,codellama,zero,14,8.0,27.0,63.11,0
s641749477_pass@1.py,codellama,zero,40,2.0,3.0,61.37,152
s852483591_pass@1.py,codellama,zero,84,3.33,305.53,38.32,191
s188548412_pass@1.py,codellama,zero,51,5.25,206.32,43.99,1568
s018978083_pass@5.py,codellama,zero,2,0,4.75,88.56,2
s229250700_pass@3.py,codellama,zero,5,0,15.51,78.26,31
s265673579_pass@1.py,codellama,zero,8,1.0,15.51,99.53,20
s282957841_pass@1.py,codellama,zero,3,0,0,100.0,18
s466621024_pass@1.py,codellama,zero,2,0,0,100.0,29
s512922599_pass@3.py,codellama,zero,2,0,4.75,88.56,27
s840646193_pass@5.py,codellama,zero,1,0,4.75,95.12,15
s948994129_pass@1.py,codellama,zero,3,0,4.75,88.56,10
s006670201_pass@3.py,codellama,zero,2,0,33.69,82.6,32
s035164203_pass@1.py,codellama,zero,2,0,38.04,82.23,15
s065574246_pass@3.py,codellama,zero,2,0,33.69,82.6,20
s086421016_pass@1.py,codellama,zero,2,0,27.0,83.28,19
s143748270_pass@1.py,codellama,zero,2,0,38.04,82.23,36
s155183050_pass@1.py,codellama,zero,8,1.0,27.0,71.41,28
s303173206_pass@1.py,codellama,zero,7,0,62.27,68.87,8
s330797972_pass@1.py,codellama,zero,5,0,33.69,73.92,22
s974392022_pass@5.py,codellama,zero,2,0,42.11,81.79,118
s258130823_pass@1.py,codellama,zero,4,0,15.51,72.82,33
s489329626_pass@1.py,codellama,zero,2,0,12.0,85.47,41
s554781057_pass@5.py,codellama,zero,4,0,12.0,73.61,18
s570849137_pass@1.py,codellama,zero,7,0,15.51,72.82,21
s634967546_pass@5.py,codellama,zero,3,0,38.04,78.12,65
s780434119_pass@1.py,codellama,zero,2,0,12.0,85.47,44
s859035826_pass@1.py,codellama,zero,7,0,15.51,72.82,25
s977378685_pass@1.py,codellama,zero,6,3.0,23.26,74.65,135
s088261359_pass@1.py,codellama,zero,2,0,10.0,86.16,32
s178465495_pass@1.py,codellama,zero,5,0,4.75,79.61,136
s255090983_pass@1.py,codellama,zero,2,0,10.0,86.16,30
s398481785_pass@1.py,codellama,zero,2,0,25.27,83.21,27
s584180070_pass@1.py,codellama,zero,2,0,10.0,86.16,32
s662145499_pass@5.py,codellama,zero,2,0,10.0,86.16,35
s743841156_pass@1.py,codellama,zero,8,1.0,15.51,72.82,58
s967421224_pass@3.py,codellama,zero,3,0,10.0,82.32,1
s179450449_pass@3.py,codellama,zero,2,0,0,100.0,53
s264999662_pass@3.py,codellama,zero,2,0,0,100.0,161
s428604004_pass@1.py,codellama,zero,6,1.0,4.75,79.74,6
s441941269_pass@1.py,codellama,zero,3,0,0,100.0,177
s491337102_pass@1.py,codellama,zero,3,0,0,100.0,17
s570872110_pass@1.py,codellama,zero,2,0,0,100.0,36
s343134940_pass@1.py,codellama,zero,2,0,123.19,78.12,72
s428274811_pass@5.py,codellama,zero,2,0,144.95,77.63,2
s433923450_pass@1.py,codellama,zero,2,0,89.86,78.95,25
s504623316_pass@3.py,codellama,zero,2,0,72.34,80.01,85
s693269647_pass@1.py,codellama,zero,3,2.0,116.0,74.73,54
s875752802_pass@3.py,codellama,zero,2,0,89.86,79.08,24
s908439862_pass@5.py,codellama,zero,5,0,89.86,70.4,26
s990723931_pass@3.py,codellama,zero,6,0,11.61,76.89,96
s991709461_pass@5.py,codellama,zero,8,0,24.0,69.12,10
s995405685_pass@3.py,codellama,zero,4,0,66.61,73.69,21
s997088185_pass@3.py,codellama,zero,7,0,15.51,72.82,29
s997988843_pass@3.py,codellama,zero,4,0,15.51,78.13,14
s998630458_pass@3.py,codellama,zero,6,0,15.51,72.82,19
s999951009_pass@3.py,codellama,zero,9,0,4.75,73.9,17
s708103246_pass@5.py,codellama,zero,8,0,36.0,68.73,9
s561025503_pass@3.py,codellama,zero,2,0,28.53,82.84,40
s044588462_pass@1.py,codellama,zero,5,1.0,20.9,77.49,47
s428316024_pass@3.py,codellama,zero,2,0,20.9,80.21,24
s672293141_pass@5.py,codellama,zero,5,0,38.04,73.55,8
s301962781_pass@1.py,codellama,zero,5,0,33.69,73.92,15
s349012706_pass@3.py,codellama,zero,5,0,36.0,73.72,9
s427375336_pass@1.py,codellama,zero,3,0,33.69,78.76,6
s501232072_pass@1.py,codellama,zero,8,1.0,49.83,98.08,22
s516128771_pass@1.py,codellama,zero,6,0,31.02,74.17,5
s815513283_pass@3.py,codellama,zero,2,0,33.69,82.6,11
s976254415_pass@1.py,codellama,zero,3,0,31.02,76.29,22
s359296711_pass@1.py,codellama,zero,16,0,99.91,74.14,28
s185744216_pass@5.py,codellama,zero,4,0,0,100.0,1
s439275119_pass@3.py,codellama,zero,3,0,0,100.0,4
s589457088_pass@1.py,codellama,zero,3,0,0,100.0,30
s102385622_pass@1.py,codellama,zero,5,0,30.0,70.55,47
s453753105_pass@5.py,codellama,zero,5,0,22.46,71.43,34
s482014715_pass@3.py,codellama,zero,6,0,15.51,74.15,55
s817795761_pass@3.py,codellama,zero,7,0,38.04,71.29,57
s058825781_pass@1.py,codellama,zero,9,0,108.0,63.28,12
s451410268_pass@1.py,codellama,zero,11,0,141.78,61.28,183
s738024971_pass@1.py,codellama,zero,14,0,76.15,65.07,231
s052760623_pass@1.py,codellama,zero,11,0,81.75,63.85,455
s394044070_pass@3.py,codellama,zero,32,3.75,85.84,53.62,108
s756477557_pass@1.py,codellama,zero,13,0,77.66,60.96,200
s922080172_pass@1.py,codellama,zero,10,0,85.84,63.07,0
s008878387_pass@3.py,codellama,zero,2,0,58.6,80.52,31
s144613711_pass@5.py,codellama,zero,7,0,99.4,90.39,32
s234638029_pass@1.py,codellama,zero,3,0,58.6,100.0,185
s312667624_pass@3.py,codellama,zero,14,0,55.51,85.33,235
s394618290_pass@1.py,codellama,zero,13,0,79.95,61.7,10
s771974273_pass@1.py,codellama,zero,7,0,68.0,69.66,42
s139086329_pass@1.py,codellama,zero,2,0,0,100.0,8
s277592678_pass@5.py,codellama,zero,3,0,0,100.0,21
s484306856_pass@1.py,codellama,zero,2,0,2.0,87.35,9
s673444911_pass@1.py,codellama,zero,2,0,0,100.0,26
s304861663_pass@5.py,codellama,zero,5,0,0,100.0,4
s353862024_pass@1.py,codellama,zero,19,0,345.95,49.12,2
s625955670_pass@1.py,codellama,zero,11,1.0,13.93,67.64,19
s663155927_pass@1.py,codellama,zero,10,0,25.27,67.69,75
s765571034_pass@1.py,codellama,zero,9,0,15.51,70.18,5
s972791455_pass@5.py,codellama,zero,23,0,69.76,56.33,85
s020271710_pass@5.py,codellama,zero,12,0,84.0,63.5,134
s424238858_pass@1.py,codellama,zero,13,0,114.69,77.29,409
s502975646_pass@5.py,codellama,zero,25,0,51.89,56.15,130
s101832115_pass@5.py,codellama,zero,13,0,15.51,66.15,359
s122031066_pass@1.py,codellama,zero,16,0,15.51,64.59,213
s834280627_pass@5.py,codellama,zero,17,0,15.51,93.55,159
s887553584_pass@5.py,codellama,zero,12,0,15.51,67.32,50
s004058109_pass@3.py,codellama,zero,15,0,259.6,55.83,137
s779449621_pass@1.py,codellama,zero,18,0,576.64,50.46,86
s104778345_pass@1.py,codellama,zero,21,0,214.05,53.63,110
s166845896_pass@3.py,codellama,zero,8,0,136.74,67.13,116
s201307593_pass@3.py,codellama,zero,6,0,125.64,67.39,94
s212920527_pass@3.py,codellama,zero,5,0,133.44,67.2,137
s522654076_pass@5.py,codellama,zero,5,0,128.93,69.17,115
s582875838_pass@3.py,codellama,zero,6,0,76.15,69.04,40
s214129181_pass@1.py,codellama,zero,8,0,4.75,74.62,100
s242890011_pass@1.py,codellama,zero,22,0,120.0,56.71,17
s267904831_pass@1.py,codellama,zero,8,0,27.0,69.87,1
s881337270_pass@5.py,codellama,zero,21,0,13.93,63.29,7
s370902130_pass@5.py,codellama,zero,27,0,15.51,74.33,80
s371139050_pass@5.py,codellama,zero,6,0,4.75,77.34,127
s373821703_pass@3.py,codellama,zero,10,0,15.51,68.91,62
s374238291_pass@1.py,codellama,zero,20,0,28.53,61.49,48
s577435334_pass@1.py,codellama,zero,10,0,13.93,69.1,8
s011003325_pass@3.py,codellama,zero,2,0,0,100.0,12
s175165176_pass@1.py,codellama,zero,2,0,0,100.0,13
s962118174_pass@1.py,codellama,zero,2,0,0,100.0,116
s031239153_pass@1.py,codellama,zero,5,0,4.75,79.74,70
s147946678_pass@5.py,codellama,zero,10,4.0,13.93,70.5,61
s219792778_pass@5.py,codellama,zero,7,2.0,4.75,76.29,79
s309823221_pass@1.py,codellama,zero,13,4.0,51.89,61.66,382
s951772590_pass@1.py,codellama,zero,6,0,4.75,77.75,30
s040490758_pass@3.py,codellama,zero,7,0,13.93,73.02,52
s075107473_pass@1.py,codellama,zero,18,0,103.73,79.36,30
s531603545_pass@5.py,codellama,zero,15,0,25.27,65.07,150
s828189570_pass@3.py,codellama,zero,5,0,13.93,76.47,13
s002223862_pass@3.py,codellama,zero,4,0,24.0,76.93,31
s051392851_pass@1.py,codellama,zero,3,0,15.51,80.99,19
s310753047_pass@1.py,codellama,zero,3,0,15.51,80.99,1
s871170661_pass@1.py,codellama,zero,6,0,15.51,74.42,14
s021883501_pass@5.py,codellama,zero,8,0,27.0,69.61,66
s281043426_pass@3.py,codellama,zero,10,0,27.0,66.72,158
s514309499_pass@1.py,codellama,zero,14,0,27.0,62.9,109
s570268714_pass@1.py,codellama,zero,8,0,27.0,69.61,33
s017269283_pass@3.py,codellama,zero,10,0,15.51,69.31,21
s023907632_pass@3.py,codellama,zero,13,0,24.0,65.99,227
s046097791_pass@1.py,codellama,zero,11,4.0,15.51,66.83,113
s116264666_pass@1.py,codellama,zero,15,5.0,15.51,65.34,100
s308008730_pass@1.py,codellama,zero,9,0,15.51,69.31,44
s339041571_pass@1.py,codellama,zero,8,0,15.51,70.31,6
s245865840_pass@1.py,codellama,zero,12,0,57.06,63.62,44
s300257469_pass@1.py,codellama,zero,12,0,88.81,62.14,38
s806369748_pass@5.py,codellama,zero,21,2.5,51.89,60.48,508
s934739140_pass@1.py,codellama,zero,10,0,57.06,63.62,25
s045509917_pass@3.py,codellama,zero,14,0,143.06,57.39,39
s081076036_pass@3.py,codellama,zero,20,0,173.92,68.59,8
s732501656_pass@3.py,codellama,zero,10,0,151.27,59.77,190
s761395796_pass@3.py,codellama,zero,15,0,34.87,78.29,194
s798849352_pass@3.py,codellama,zero,11,0,92.0,60.71,13
s820095650_pass@1.py,codellama,zero,17,0,77.71,58.71,171
s965611824_pass@1.py,codellama,zero,11,0,156.08,58.31,3
s995779739_pass@1.py,codellama,zero,22,1.0,140.55,54.72,446
s512922599_pass@3.py,starcoder2,few,3,0,4.75,84.72,2
s490085492_pass@1.py,starcoder2,one,4,0,0,100.0,1
s054233732_pass@1.py,starcoder2,one,18,0,96.0,76.29,8
s295817617_pass@5.py,starcoder2,zero,15,0,53.77,94.15,368
s901218275_pass@3.py,starcoder2,zero,12,0,208.97,81.43,35
s065574246_pass@5.py,starcoder2,zero,2,0,33.69,78.76,9
s980281597_pass@5.py,starcoder2,zero,4,0,12.0,100.0,64
s349012706_pass@5.py,starcoder2,zero,5,0,31.02,74.17,1
s973436690_pass@1.py,starcoder2,zero,26,0,99.91,79.47,44
s201307593_pass@5.py,starcoder2,zero,12,0,140.65,78.13,4
s701623370_pass@5.py,starcoder2,zero,3,0,0,100.0,8
s570268714_pass@3.py,starcoder2,zero,14,0,39.86,86.47,54
s918657324_pass@1.py,starcoder2,zero,21,0,89.69,54.16,0
s996953065_pass@3.py,wizardcoder,few,7,0,13.93,78.72,44
s901218275_pass@3.py,wizardcoder,few,8,0,171.3,65.79,188
s512922599_pass@1.py,wizardcoder,few,2,0,4.75,88.56,40
s948994129_pass@1.py,wizardcoder,few,2,0,4.75,88.56,24
s859035826_pass@1.py,wizardcoder,few,7,0,15.51,72.82,18
s255090983_pass@1.py,wizardcoder,few,2,0,10.0,86.16,28
s004821086_pass@5.py,wizardcoder,few,3,0,0,100.0,96
s127780162_pass@1.py,wizardcoder,few,4,0,0,100.0,29
s908439862_pass@1.py,wizardcoder,few,8,0,89.86,68.67,27
s996883089_pass@3.py,wizardcoder,few,8,0,23.26,70.33,6
s541731237_pass@3.py,wizardcoder,few,10,0,15.51,69.31,37
s789703302_pass@5.py,wizardcoder,few,9,0,49.83,74.85,13
s589457088_pass@1.py,wizardcoder,few,6,0,0,100.0,11
s185813191_pass@1.py,wizardcoder,few,5,0,58.6,71.84,25
s287029907_pass@1.py,wizardcoder,few,3,0,34.87,78.39,63
s040490758_pass@1.py,wizardcoder,few,8,0,25.27,69.94,19
s051392851_pass@1.py,wizardcoder,few,3,0,15.51,80.99,24
s245865840_pass@3.py,wizardcoder,few,12,0,57.06,63.62,114
s996953065_pass@3.py,wizardcoder,one,3,0,68.53,80.44,20
s512922599_pass@1.py,wizardcoder,one,2,0,4.75,88.56,40
s948994129_pass@1.py,wizardcoder,one,1,0,4.75,95.12,40
s258130823_pass@5.py,wizardcoder,one,17,0,12.0,71.22,25
s859035826_pass@3.py,wizardcoder,one,8,0,15.51,71.43,23
s255090983_pass@1.py,wizardcoder,one,2,0,10.0,86.16,30
s693269647_pass@5.py,wizardcoder,one,4,4.0,154.29,73.6,73
s996883089_pass@3.py,wizardcoder,one,8,0,15.51,71.56,16
s501232072_pass@1.py,wizardcoder,one,5,0,33.69,78.76,79
s789703302_pass@5.py,wizardcoder,one,3,0,33.69,78.76,26
s589457088_pass@3.py,wizardcoder,one,6,0,0,100.0,0
s069952946_pass@1.py,wizardcoder,one,15,0,28.53,69.57,41
s185813191_pass@1.py,wizardcoder,one,5,0,58.6,71.84,25
s569329761_pass@3.py,wizardcoder,one,3,0,2.0,84.62,112
s919326051_pass@3.py,wizardcoder,one,6,0,4.75,77.48,205
s287029907_pass@3.py,wizardcoder,one,14,2.5,55.35,62.96,135
s421803874_pass@3.py,wizardcoder,one,10,0,20.9,68.4,10
s040490758_pass@1.py,wizardcoder,one,9,0,13.93,70.64,13
s051392851_pass@3.py,wizardcoder,one,6,0,15.51,74.42,1
s477555198_pass@1.py,wizardcoder,zero,13,1.33,49.83,63.41,145
s996953065_pass@1.py,wizardcoder,zero,2,0,68.53,80.44,46
s304863237_pass@3.py,wizardcoder,zero,15,0,48.43,63.23,202
s538701082_pass@1.py,wizardcoder,zero,19,0,55.51,66.43,117
s736665972_pass@3.py,wizardcoder,zero,9,0,55.51,66.43,82
s935162273_pass@1.py,wizardcoder,zero,12,0,191.37,60.21,75
s056071335_pass@5.py,wizardcoder,zero,28,2.5,31.02,57.72,429
s771095630_pass@1.py,wizardcoder,zero,26,1.86,33.69,57.2,671
s018978083_pass@1.py,wizardcoder,zero,1,0,4.75,95.12,14
s466621024_pass@5.py,wizardcoder,zero,2,0,0,100.0,28
s512922599_pass@5.py,wizardcoder,zero,3,0,4.75,84.72,25
s840646193_pass@1.py,wizardcoder,zero,3,0,4.75,88.56,5
s948994129_pass@3.py,wizardcoder,zero,2,0,4.75,88.56,25
s065574246_pass@1.py,wizardcoder,zero,3,0,33.69,82.6,10
s086421016_pass@1.py,wizardcoder,zero,3,0,13.93,100.0,125
s155183050_pass@3.py,wizardcoder,zero,2,0,27.0,83.28,114
s691583660_pass@3.py,wizardcoder,zero,6,1.0,38.04,73.42,36
s258130823_pass@3.py,wizardcoder,zero,19,3.0,12.0,71.22,86
s570849137_pass@1.py,wizardcoder,zero,2,0,15.51,84.69,64
s780434119_pass@1.py,wizardcoder,zero,2,0,12.0,85.47,57
s859035826_pass@3.py,wizardcoder,zero,13,0,15.51,72.82,16
s088261359_pass@5.py,wizardcoder,zero,2,0,25.27,83.21,27
s178465495_pass@5.py,wizardcoder,zero,5,0,41.51,73.02,140
s255090983_pass@1.py,wizardcoder,zero,2,0,10.0,86.16,28
s398481785_pass@1.py,wizardcoder,zero,2,0,25.27,83.21,29
s584180070_pass@1.py,wizardcoder,zero,2,0,10.0,86.16,36
s662145499_pass@1.py,wizardcoder,zero,3,0,10.0,86.16,37
s743841156_pass@5.py,wizardcoder,zero,3,0,25.27,83.21,120
s791577828_pass@5.py,wizardcoder,zero,3,0,10.0,86.16,41
s967421224_pass@3.py,wizardcoder,zero,2,0,10.0,86.16,21
s107203033_pass@5.py,wizardcoder,zero,2,0,0,100.0,74
s339999941_pass@5.py,wizardcoder,zero,5,0,0,100.0,289
s491337102_pass@1.py,wizardcoder,zero,2,0,0,100.0,33
s570872110_pass@1.py,wizardcoder,zero,3,0,0,100.0,50
s428274811_pass@1.py,wizardcoder,zero,2,0,91.38,79.43,11
s810268899_pass@3.py,wizardcoder,zero,2,0,89.86,79.08,29
s875752802_pass@1.py,wizardcoder,zero,2,0,89.86,79.08,63
s993872842_pass@1.py,wizardcoder,zero,6,0,15.51,72.82,27
s996883089_pass@3.py,wizardcoder,zero,8,0,23.26,70.33,6
s998630458_pass@1.py,wizardcoder,zero,10,0,23.26,68.08,48
s999951009_pass@1.py,wizardcoder,zero,19,0,4.75,92.53,165
s085864513_pass@1.py,wizardcoder,zero,7,0,4.75,77.75,26
s541731237_pass@1.py,wizardcoder,zero,12,4.0,15.51,68.41,136
s608838695_pass@1.py,wizardcoder,zero,6,0,25.27,72.67,20
s096048309_pass@5.py,wizardcoder,zero,9,3.0,28.53,74.16,124
s561025503_pass@3.py,wizardcoder,zero,2,0,24.0,83.37,40
s348196604_pass@1.py,wizardcoder,zero,4,0,25.27,76.91,10
s388797281_pass@1.py,wizardcoder,zero,5,0,20.9,75.37,40
s428316024_pass@1.py,wizardcoder,zero,3,0,20.9,84.06,13
s507883283_pass@1.py,wizardcoder,zero,2,0,20.9,80.21,11
s262396358_pass@5.py,wizardcoder,zero,3,0,31.02,82.85,32
s349012706_pass@1.py,wizardcoder,zero,3,0,31.02,82.85,44
s027399995_pass@5.py,wizardcoder,zero,9,0,108.0,87.83,564
s185744216_pass@1.py,wizardcoder,zero,11,1.0,0,100.0,20
s424922758_pass@5.py,wizardcoder,zero,5,0,0,100.0,18
s439275119_pass@1.py,wizardcoder,zero,3,0,0,100.0,6
