filename,modelname,prompting,LOC_original,LOC_refactored,LOC_change,CC_original,CC_refactored,CC_change,Halstead_original,Halstead_refactored,Halstead_change,MI_original,MI_refactored,MI_change,Levenshtein_Distance
s435912433_pass@3.py,codellama,one,5,7,increase,0,1.0,increase,108.0,108.0,same,70.38,68.65,decrease,52
s258130823_pass@1.py,codellama,one,9,8,decrease,0,0,same,12.0,12.0,same,71.22,72.34,increase,34
s859035826_pass@5.py,codellama,one,8,7,decrease,0,0,same,15.51,15.51,same,72.69,72.69,same,5
s255090983_pass@1.py,codellama,one,7,5,decrease,0,0,same,10.0,10.0,same,75.75,77.48,increase,15
s413915184_pass@1.py,codellama,one,8,2,decrease,0,0,same,10.0,10.0,same,73.03,86.16,increase,72
s004821086_pass@1.py,codellama,one,14,14,same,0,0,same,18.0,18.0,same,65.67,65.67,same,14
s693269647_pass@3.py,codellama,one,10,4,decrease,3.0,4.0,increase,120.0,142.62,increase,66.47,73.84,increase,60
s993872842_pass@1.py,codellama,one,8,6,decrease,0,0,same,15.51,15.51,same,71.56,72.82,increase,14
s006645469_pass@1.py,codellama,one,4,5,increase,0,0,same,4.75,4.75,same,79.61,79.61,same,12
s541731237_pass@1.py,codellama,one,7,7,same,0,0,same,15.51,15.51,same,69.31,69.31,same,21
s044588462_pass@3.py,codellama,one,5,3,decrease,0,0,same,77.71,20.9,decrease,71.38,100.0,increase,44
s789703302_pass@1.py,codellama,one,4,4,same,0,0,same,49.83,33.69,decrease,74.85,73.92,decrease,20
s644599577_pass@5.py,codellama,one,21,17,decrease,0,0,same,120.0,120.0,same,57.79,57.79,same,2
s490085492_pass@1.py,codellama,one,7,5,decrease,0,0,same,0,0,same,100.0,100.0,same,1
s589457088_pass@1.py,codellama,one,6,15,increase,0,1.0,increase,0,0,same,100.0,100.0,same,101
s041933512_pass@5.py,codellama,one,15,10,decrease,0,0,same,70.32,103.73,increase,62.58,63.99,increase,94
s756477557_pass@1.py,codellama,one,18,14,decrease,0,0,same,84.0,68.0,decrease,85.88,77.83,decrease,138
s185813191_pass@5.py,codellama,one,8,4,decrease,0,0,same,43.02,58.6,increase,69.59,73.95,increase,30
s277592678_pass@1.py,codellama,one,6,3,decrease,0,0,same,0,0,same,100.0,100.0,same,21
s353862024_pass@1.py,codellama,one,22,20,decrease,0,0,same,345.95,345.95,same,49.12,48.77,decrease,22
s765571034_pass@1.py,codellama,one,11,10,decrease,0,0,same,15.51,15.51,same,70.18,69.18,decrease,11
s214129181_pass@5.py,codellama,one,13,14,increase,0,0,same,4.75,4.75,same,72.64,71.73,decrease,12
s373821703_pass@3.py,codellama,one,16,12,decrease,0,0,same,28.53,15.51,decrease,64.57,67.18,increase,50
s287029907_pass@1.py,codellama,one,8,9,increase,0,0,same,55.35,55.35,same,67.56,66.44,decrease,6
s421803874_pass@3.py,codellama,one,10,10,same,0,0,same,20.9,20.9,same,68.4,68.4,same,10
s368208835_pass@3.py,codellama,one,6,5,decrease,0,0,same,4.75,4.75,same,77.88,79.61,increase,34
s040490758_pass@1.py,codellama,one,9,8,decrease,0,0,same,25.27,25.27,same,68.83,69.94,increase,17
s828189570_pass@3.py,codellama,one,8,7,decrease,0,0,same,13.93,13.93,same,74.75,74.75,same,1
s051392851_pass@1.py,codellama,one,8,4,decrease,0,0,same,15.51,15.51,same,74.42,74.42,same,5
s946875575_pass@5.py,codellama,one,7,6,decrease,0,0,same,13.93,15.51,increase,73.29,74.42,increase,21
s171484205_pass@1.py,codellama,one,9,8,decrease,0,0,same,15.51,15.51,same,70.44,71.56,increase,5
s017269283_pass@1.py,codellama,one,12,10,decrease,0,0,same,15.51,15.51,same,69.31,69.31,same,25
s198495041_pass@3.py,codellama,one,15,14,decrease,0,0,same,25.27,15.51,decrease,64.64,66.83,increase,22
s245865840_pass@1.py,codellama,one,17,12,decrease,0,0,same,69.76,57.06,decrease,62.12,63.62,increase,27
s820095650_pass@1.py,codellama,one,25,24,decrease,0,0,same,105.49,105.49,same,55.19,55.19,same,31
s965611824_pass@5.py,codellama,one,12,11,decrease,0,0,same,156.08,156.08,same,58.31,58.31,same,1
s082356343_pass@1.py,codellama,zero,10,4,decrease,0,0,same,13.93,13.93,same,74.88,78.72,increase,22
s263691840_pass@1.py,codellama,zero,5,3,decrease,0,0,same,53.77,53.77,same,72.5,74.61,increase,18
s295817617_pass@1.py,codellama,zero,4,3,decrease,0,0,same,77.71,13.93,decrease,76.22,81.45,increase,22
s371528449_pass@1.py,codellama,zero,6,4,decrease,0,0,same,53.77,53.77,same,72.5,77.34,increase,50
s477555198_pass@3.py,codellama,zero,17,13,decrease,1.33,1.33,same,49.83,49.83,same,64.99,64.99,same,247
s531798554_pass@1.py,codellama,zero,4,4,same,0,0,same,27.0,53.77,increase,79.44,74.61,decrease,31
s687420848_pass@3.py,codellama,zero,4,4,same,0,0,same,70.32,85.84,increase,73.8,73.19,decrease,10
s996953065_pass@5.py,codellama,zero,3,2,decrease,0,0,same,68.53,68.53,same,76.6,80.44,increase,23
s136888622_pass@1.py,codellama,zero,10,10,same,0,0,same,274.02,171.3,decrease,63.1,64.52,increase,63
s170928938_pass@3.py,codellama,zero,9,7,decrease,0,0,same,184.48,184.48,same,65.56,65.56,same,43
s620663854_pass@1.py,codellama,zero,8,7,decrease,0,0,same,242.5,222.91,decrease,64.6,64.99,increase,16
s867076447_pass@1.py,codellama,zero,16,9,decrease,0,0,same,152.93,168.56,increase,86.14,63.46,decrease,175
s899881145_pass@1.py,codellama,zero,7,6,decrease,0,0,same,187.3,187.3,same,66.98,66.98,same,16
s901218275_pass@1.py,codellama,zero,14,14,same,0,1.0,increase,189.99,171.3,decrease,63.09,60.68,decrease,282
s010390929_pass@5.py,codellama,zero,19,15,decrease,0,0,same,53.77,53.77,same,62.34,63.04,increase,95
s095091093_pass@1.py,codellama,zero,5,5,same,0,0,same,68.53,68.53,same,69.63,69.63,same,2
s142516772_pass@1.py,codellama,zero,10,7,decrease,0,0,same,68.53,68.53,same,68.04,68.04,same,8
s203706589_pass@5.py,codellama,zero,7,6,decrease,0,0,same,68.53,68.53,same,66.91,66.91,same,1
s304863237_pass@1.py,codellama,zero,22,13,decrease,0,0,same,70.32,53.77,decrease,62.23,65.53,increase,84
s374724809_pass@3.py,codellama,zero,11,9,decrease,0,0,same,82.04,66.61,decrease,63.34,65.74,increase,45
s538701082_pass@5.py,codellama,zero,15,12,decrease,0,0,same,68.53,53.77,decrease,63.76,67.51,increase,33
s736665972_pass@1.py,codellama,zero,12,10,decrease,0,0,same,55.51,55.51,same,64.53,66.43,increase,39
s646573817_pass@1.py,codellama,zero,13,10,decrease,0,0,same,79.73,79.73,same,63.3,66.18,increase,39
s657725502_pass@1.py,codellama,zero,20,11,decrease,0,0,same,135.71,69.76,decrease,71.14,63.7,decrease,149
s914039331_pass@1.py,codellama,zero,13,12,decrease,4.0,4.0,same,36.0,36.0,same,64.89,64.89,same,1
s935162273_pass@3.py,codellama,zero,16,13,decrease,0,0,same,185.44,185.44,same,59.28,59.28,same,68
s056071335_pass@1.py,codellama,zero,36,23,decrease,2.5,3.33,increase,45.0,45.0,same,72.62,59.18,decrease,977
s082272685_pass@1.py,codellama,zero,77,75,decrease,1.86,1.86,same,45.0,45.0,same,48.34,48.34,same,1
s396380319_pass@3.py,codellama,zero,13,10,decrease,0,0,same,4.75,4.75,same,68.8,72.14,increase,256
s476712717_pass@1.py,codellama,zero,37,34,decrease,1.75,3.2,increase,45.0,99.91,increase,53.84,51.89,decrease,479
s771095630_pass@1.py,codellama,zero,42,28,decrease,1.75,2.4,increase,33.69,33.69,same,56.33,59.12,increase,676
s921223902_pass@5.py,codellama,zero,43,31,decrease,2.6,2.2,decrease,20.9,20.9,same,80.97,70.1,decrease,295
s096014979_pass@1.py,codellama,zero,82,53,decrease,5.0,4.33,decrease,377.86,137.61,decrease,53.85,54.89,increase,684
s247091116_pass@3.py,codellama,zero,60,52,decrease,3.0,3.0,same,77.71,77.71,same,49.2,49.2,same,153
s383138786_pass@5.py,codellama,zero,79,62,decrease,2.5,5.0,increase,168.56,168.56,same,45.11,45.68,increase,1112
s677932982_pass@3.py,codellama,zero,44,42,decrease,2.5,2.5,same,178.41,178.41,same,63.12,59.42,decrease,13
s713234703_pass@5.py,codellama,zero,65,35,decrease,3.75,3.33,decrease,137.61,77.71,decrease,53.11,64.87,increase,1061
s898678511_pass@1.py,codellama,zero,14,14,same,8.0,8.0,same,27.0,27.0,same,63.11,63.11,same,0
s641749477_pass@1.py,codellama,zero,36,40,increase,2.0,2.0,same,3.0,3.0,same,61.37,61.37,same,152
s852483591_pass@1.py,codellama,zero,88,84,decrease,3.33,3.33,same,305.53,305.53,same,51.78,38.32,decrease,191
s188548412_pass@1.py,codellama,zero,124,51,decrease,5.8,5.25,decrease,250.77,206.32,decrease,52.35,43.99,decrease,1568
s018978083_pass@5.py,codellama,zero,3,2,decrease,0,0,same,4.75,4.75,same,88.56,88.56,same,2
s265673579_pass@1.py,codellama,zero,12,8,decrease,1.0,1.0,same,15.51,15.51,same,100.0,99.53,decrease,20
s282957841_pass@1.py,codellama,zero,4,3,decrease,0,0,same,0,0,same,100.0,100.0,same,18
s466621024_pass@1.py,codellama,zero,6,2,decrease,1.0,0,decrease,0,0,same,100.0,100.0,same,29
s512922599_pass@3.py,codellama,zero,4,2,decrease,0,0,same,4.75,4.75,same,84.72,88.56,increase,27
s840646193_pass@5.py,codellama,zero,2,1,decrease,0,0,same,4.75,4.75,same,88.56,95.12,increase,15
s948994129_pass@1.py,codellama,zero,5,3,decrease,0,0,same,4.75,4.75,same,84.72,88.56,increase,10
s006670201_pass@3.py,codellama,zero,8,2,decrease,0,0,same,33.69,33.69,same,76.04,82.6,increase,32
s035164203_pass@1.py,codellama,zero,4,2,decrease,0,0,same,38.04,38.04,same,75.67,82.23,increase,15
s065574246_pass@3.py,codellama,zero,3,2,decrease,0,0,same,33.69,33.69,same,78.76,82.6,increase,20
s086421016_pass@1.py,codellama,zero,3,2,decrease,0,0,same,27.0,27.0,same,79.44,83.28,increase,19
s143748270_pass@1.py,codellama,zero,6,2,decrease,0,0,same,33.69,38.04,increase,72.2,82.23,increase,36
s155183050_pass@1.py,codellama,zero,12,8,decrease,1.0,1.0,same,27.0,27.0,same,69.03,71.41,increase,28
s303173206_pass@1.py,codellama,zero,11,7,decrease,0,0,same,62.27,62.27,same,95.03,68.87,decrease,8
s330797972_pass@1.py,codellama,zero,7,5,decrease,0,0,same,33.69,33.69,same,70.74,73.92,increase,22
s974392022_pass@5.py,codellama,zero,9,2,decrease,0,0,same,88.81,42.11,decrease,69.25,81.79,increase,118
s258130823_pass@1.py,codellama,zero,9,4,decrease,0,0,same,12.0,15.51,increase,71.22,72.82,increase,33
s489329626_pass@1.py,codellama,zero,8,2,decrease,0,0,same,12.0,12.0,same,73.47,85.47,increase,41
s554781057_pass@5.py,codellama,zero,9,4,decrease,0,0,same,12.0,12.0,same,73.61,73.61,same,18
s570849137_pass@1.py,codellama,zero,8,7,decrease,0,0,same,12.0,15.51,increase,72.34,72.82,increase,21
s634967546_pass@5.py,codellama,zero,10,3,decrease,0,0,same,12.0,38.04,increase,72.34,78.12,increase,65
s780434119_pass@1.py,codellama,zero,8,2,decrease,0,0,same,12.0,12.0,same,72.34,85.47,increase,44
s859035826_pass@1.py,codellama,zero,8,7,decrease,0,0,same,15.51,15.51,same,72.69,72.82,increase,25
s977378685_pass@1.py,codellama,zero,8,6,decrease,0,3.0,increase,23.26,23.26,same,70.19,74.65,increase,135
s088261359_pass@1.py,codellama,zero,5,2,decrease,0,0,same,25.27,10.0,decrease,74.53,86.16,increase,32
s178465495_pass@1.py,codellama,zero,16,5,decrease,0,0,same,50.0,4.75,decrease,61.03,79.61,increase,136
s255090983_pass@1.py,codellama,zero,7,2,decrease,0,0,same,10.0,10.0,same,75.75,86.16,increase,30
s398481785_pass@1.py,codellama,zero,6,2,decrease,0,0,same,20.68,25.27,increase,75.27,83.21,increase,27
s584180070_pass@1.py,codellama,zero,7,2,decrease,0,0,same,10.0,10.0,same,77.35,86.16,increase,32
s662145499_pass@5.py,codellama,zero,5,2,decrease,0,0,same,10.0,10.0,same,77.35,86.16,increase,35
s743841156_pass@1.py,codellama,zero,12,8,decrease,1.5,1.0,decrease,15.51,15.51,same,70.44,72.82,increase,58
s967421224_pass@3.py,codellama,zero,4,3,decrease,0,0,same,10.0,10.0,same,82.32,82.32,same,1
s179450449_pass@3.py,codellama,zero,4,2,decrease,0,0,same,4.75,0,decrease,81.86,100.0,increase,53
s264999662_pass@3.py,codellama,zero,13,2,decrease,0,0,same,60.0,0,decrease,62.17,100.0,increase,161
s428604004_pass@1.py,codellama,zero,7,6,decrease,1.0,1.0,same,4.75,4.75,same,79.74,79.74,same,6
s441941269_pass@1.py,codellama,zero,17,3,decrease,0,0,same,211.52,0,decrease,57.52,100.0,increase,177
s491337102_pass@1.py,codellama,zero,7,3,decrease,0,0,same,0,0,same,100.0,100.0,same,17
s570872110_pass@1.py,codellama,zero,3,2,decrease,0,0,same,0,0,same,100.0,100.0,same,36
s343134940_pass@1.py,codellama,zero,5,2,decrease,0,0,same,123.19,123.19,same,69.44,78.12,increase,72
s428274811_pass@5.py,codellama,zero,2,2,same,0,0,same,123.19,144.95,increase,78.12,77.63,decrease,2
s433923450_pass@1.py,codellama,zero,5,2,decrease,0,0,same,89.86,89.86,same,70.27,78.95,increase,25
s504623316_pass@3.py,codellama,zero,6,2,decrease,0,0,same,194.51,72.34,decrease,67.78,80.01,increase,85
s693269647_pass@1.py,codellama,zero,10,3,decrease,3.0,2.0,decrease,120.0,116.0,decrease,66.47,74.73,increase,54
s875752802_pass@3.py,codellama,zero,7,2,decrease,0,0,same,89.86,89.86,same,70.4,79.08,increase,24
s908439862_pass@5.py,codellama,zero,8,5,decrease,0,0,same,89.86,89.86,same,70.4,70.4,same,26
s990723931_pass@3.py,codellama,zero,18,6,decrease,0,0,same,15.51,11.61,decrease,84.63,76.89,decrease,96
s991709461_pass@5.py,codellama,zero,10,8,decrease,0,0,same,28.53,24.0,decrease,68.59,69.12,increase,10
s995405685_pass@3.py,codellama,zero,7,4,decrease,0,0,same,66.61,66.61,same,69.85,73.69,increase,21
s997988843_pass@3.py,codellama,zero,7,4,decrease,0,0,same,15.51,15.51,same,74.29,78.13,increase,14
s998630458_pass@3.py,codellama,zero,7,6,decrease,0,0,same,15.51,15.51,same,72.82,72.82,same,19
s999951009_pass@3.py,codellama,zero,10,9,decrease,0,0,same,4.75,4.75,same,72.91,73.9,increase,17
s708103246_pass@5.py,codellama,zero,7,8,increase,0,0,same,36.0,36.0,same,68.73,68.73,same,9
s561025503_pass@3.py,codellama,zero,4,2,decrease,0,0,same,28.53,28.53,same,79.0,82.84,increase,40
s044588462_pass@1.py,codellama,zero,5,5,same,0,1.0,increase,77.71,20.9,decrease,71.38,77.49,increase,47
s428316024_pass@3.py,codellama,zero,2,2,same,0,0,same,33.69,20.9,decrease,82.6,80.21,decrease,24
s301962781_pass@1.py,codellama,zero,8,5,decrease,0,0,same,31.02,33.69,increase,74.17,73.92,decrease,15
s349012706_pass@3.py,codellama,zero,5,5,same,0,0,same,31.02,36.0,increase,74.17,73.72,decrease,9
s427375336_pass@1.py,codellama,zero,4,3,decrease,0,0,same,31.02,33.69,increase,76.29,78.76,increase,6
s516128771_pass@1.py,codellama,zero,8,6,decrease,0,0,same,31.02,31.02,same,74.17,74.17,same,5
s815513283_pass@3.py,codellama,zero,2,2,same,0,0,same,33.69,33.69,same,78.76,82.6,increase,11
s976254415_pass@1.py,codellama,zero,3,3,same,0,0,same,47.55,31.02,decrease,77.71,76.29,decrease,22
s359296711_pass@1.py,codellama,zero,12,16,increase,0,0,same,99.91,99.91,same,77.22,74.14,decrease,28
s185744216_pass@5.py,codellama,zero,6,4,decrease,0,0,same,0,0,same,100.0,100.0,same,1
s439275119_pass@3.py,codellama,zero,3,3,same,0,0,same,0,0,same,100.0,100.0,same,4
s589457088_pass@1.py,codellama,zero,6,3,decrease,0,0,same,0,0,same,100.0,100.0,same,30
s102385622_pass@1.py,codellama,zero,9,5,decrease,0,0,same,38.04,30.0,decrease,67.45,70.55,increase,47
s453753105_pass@5.py,codellama,zero,8,5,decrease,0,0,same,38.04,22.46,decrease,68.56,71.43,increase,34
s482014715_pass@3.py,codellama,zero,9,6,decrease,0,0,same,4.75,15.51,increase,73.77,74.15,increase,55
s817795761_pass@3.py,codellama,zero,10,7,decrease,0,0,same,25.27,38.04,increase,89.23,71.29,decrease,57
s058825781_pass@1.py,codellama,zero,11,9,decrease,0,0,same,108.0,108.0,same,62.37,63.28,increase,12
s451410268_pass@1.py,codellama,zero,9,11,increase,0,0,same,145.95,141.78,decrease,63.49,61.28,decrease,183
s738024971_pass@1.py,codellama,zero,22,14,decrease,0,0,same,113.3,76.15,decrease,58.75,65.07,increase,231
s052760623_pass@1.py,codellama,zero,17,11,decrease,0,0,same,244.27,81.75,decrease,54.96,63.85,increase,455
s394044070_pass@3.py,codellama,zero,35,32,decrease,3.5,3.75,increase,85.84,85.84,same,53.41,53.62,increase,108
s756477557_pass@1.py,codellama,zero,18,13,decrease,0,0,same,84.0,77.66,decrease,85.88,60.96,decrease,200
s922080172_pass@1.py,codellama,zero,10,10,same,0,0,same,85.84,85.84,same,63.07,63.07,same,0
s008878387_pass@3.py,codellama,zero,5,2,decrease,0,0,same,58.6,58.6,same,71.84,80.52,increase,31
s144613711_pass@5.py,codellama,zero,9,7,decrease,0,0,same,110.45,99.4,decrease,65.46,90.39,increase,32
s234638029_pass@1.py,codellama,zero,15,3,decrease,0,0,same,77.71,58.6,decrease,76.33,100.0,increase,185
s312667624_pass@3.py,codellama,zero,24,14,decrease,0,0,same,110.36,55.51,decrease,76.13,85.33,increase,235
s394618290_pass@1.py,codellama,zero,15,13,decrease,0,0,same,66.61,79.95,increase,61.56,61.7,increase,10
s771974273_pass@1.py,codellama,zero,8,7,decrease,0,0,same,83.4,68.0,decrease,67.44,69.66,increase,42
s139086329_pass@1.py,codellama,zero,2,2,same,0,0,same,2.0,0,decrease,87.35,100.0,increase,8
s277592678_pass@5.py,codellama,zero,6,3,decrease,0,0,same,0,0,same,100.0,100.0,same,21
s484306856_pass@1.py,codellama,zero,3,2,decrease,0,0,same,2.0,2.0,same,84.62,87.35,increase,9
s673444911_pass@1.py,codellama,zero,4,2,decrease,0,0,same,2.0,0,decrease,84.62,100.0,increase,26
s304861663_pass@5.py,codellama,zero,5,5,same,0,0,same,0,0,same,100.0,100.0,same,4
s353862024_pass@1.py,codellama,zero,22,19,decrease,0,0,same,345.95,345.95,same,49.12,49.12,same,2
s625955670_pass@1.py,codellama,zero,13,11,decrease,1.0,1.0,same,13.93,13.93,same,67.64,67.64,same,19
s663155927_pass@1.py,codellama,zero,14,10,decrease,0,0,same,25.27,25.27,same,67.69,67.69,same,75
s765571034_pass@1.py,codellama,zero,11,9,decrease,0,0,same,15.51,15.51,same,70.18,70.18,same,5
s972791455_pass@5.py,codellama,zero,23,23,same,0,0,same,69.76,69.76,same,56.19,56.33,increase,85
s020271710_pass@5.py,codellama,zero,25,12,decrease,0,0,same,84.0,84.0,same,56.47,63.5,increase,134
s424238858_pass@1.py,codellama,zero,15,13,decrease,0,0,same,112.59,114.69,increase,58.37,77.29,increase,409
s502975646_pass@5.py,codellama,zero,30,25,decrease,0,0,same,51.89,51.89,same,55.78,56.15,increase,130
s101832115_pass@5.py,codellama,zero,13,13,same,0,0,same,28.53,15.51,decrease,63.9,66.15,increase,359
s122031066_pass@1.py,codellama,zero,18,16,decrease,0,0,same,15.51,15.51,same,63.47,64.59,increase,213
s834280627_pass@5.py,codellama,zero,23,17,decrease,0,0,same,15.51,15.51,same,89.34,93.55,increase,159
