problem_code,student_id,original_image,refactored_image,model
p02422,s820095650,871327ff-c0f6-40bf-9db7-98cb940eaac9.jpg,946e95c3-e9d8-4381-8554-5535452f8903.jpg,codellama_one
p02380,s899881145,73a53ac8-1d12-44a8-855b-91667f7ffe8d.jpg,02829afa-d58f-4d82-a80b-f2b1c1626c49.jpg,codellama_zero
p02389,s065574246,429d5c16-8d23-4c6d-8211-8bcd9a384b5d.jpg,c315392a-5641-457b-845c-54e36cc410f1.jpg,wizardcoder_zero
p02389,s065574246,b25716fd-1452-4d18-9d14-3292657908d4.jpg,d041b4e7-e6de-4253-af72-d57039cd3670.jpg,starcoder2_zero
p02420,s017269283,7b943c3d-f625-4aa7-af2d-3530de68b562.jpg,aa00afc0-cbfa-4ab7-8af7-dd981d229cff.jpg,codellama_few
p02416,s031239153,fbda065d-52af-4249-9923-7ed50b4bbf97.jpg,ab1ecd60-ed5e-42b9-a1b6-377fecce19a4.jpg,codellama_zero
p02388,s018978083,15f2a2c4-a614-4e9a-9b71-4e9add9da46b.jpg,1e644420-6c20-4ef5-b9bd-0ce69555d01c.jpg,wizardcoder_zero
p02379,s371528449,baca7e03-4fd3-4f5a-a736-ba5ec2ddd4d6.jpg,fdabcdc4-21f3-47cd-acab-12ff6bf1340c.jpg,codellama_zero
p02385,s641749477,95cd281f-a25f-4bf7-b7ca-1c0edce9e1a8.jpg,c95713d7-1d8a-4a7e-8a06-f893b69d8d97.jpg,codellama_zero
p02383,s056071335,37a81f7c-de7f-45d8-a87c-c07915da0a4a.jpg,424e4a43-86d2-4d47-af42-899ee93541ca.jpg,wizardcoder_zero
p02380,s725231104,f0501e14-178f-4c35-a453-0edb20e767ee.jpg,727a2e78-3e83-44e0-a4e6-922c8c8c6463.jpg,codellama_one
p02412,s104778345,0b45330d-6ef6-44aa-975d-1e8f69f8a4ae.jpg,ce644985-46e6-45c2-8c07-1501d778b43f.jpg,wizardcoder_zero
