filename,status
s810268899,pass@1
s875752802,pass@3
s908439862,pass@5
s990723931,pass@3
s991709461,pass@5
s993872842,failed
s995405685,pass@3
s996883089,failed
s997088185,pass@3
s997655254,failed
s997988843,pass@3
s998630458,pass@3
s999951009,pass@3
s006645469,failed
s071776650,failed
s085864513,pass@5
s116762267,failed
s505486004,failed
s541731237,failed
s608838695,failed
s708103246,pass@5
s860912947,failed
s882925840,failed
s013300062,failed
s096048309,failed
s481380826,failed
s506877299,failed
s530686748,failed
s561025503,pass@3
s587727287,failed
s666005500,failed
s689013232,failed
s764158731,failed
s044588462,pass@1
s097035551,failed
s184751700,failed
s348196604,pass@1
s388797281,failed
s428316024,pass@3
s467650126,failed
s507883283,failed
s672293141,pass@5
s704308845,failed
s262396358,failed
s301962781,pass@1
s349012706,pass@3
s427375336,pass@1
s501232072,pass@1
s516128771,pass@1
s733437991,failed
s789703302,failed
s815513283,pass@3
s976254415,pass@1
s027399995,failed
s033499111,failed
s083799619,failed
s175101800,failed
s359296711,pass@1
s368031625,failed
s503178894,failed
s593107411,failed
s644599577,failed
s973436690,failed
s156027764,failed
s185744216,pass@5
s424922758,failed
s439275119,pass@3
s490085492,failed
s589457088,pass@1
s663686909,failed
s692452144,pass@1
s734094779,failed
s893219548,failed
s006445558,failed
s044522497,failed
s069952946,failed
s102385622,pass@1
s124332770,failed
s453753105,pass@5
s482014715,pass@3
s817795761,pass@3
s957157478,failed
s982492653,failed
s054233732,failed
s058825781,pass@1
s070640642,failed
s142992968,failed
s336483975,failed
s384609296,failed
s451410268,pass@1
s480053179,failed
s496984985,failed
s738024971,pass@1
s041933512,failed
s052760623,pass@1
s224597442,failed
s313633092,failed
s394044070,pass@3
s560231328,pass@3
s756477557,pass@1
s833246561,failed
s922080172,pass@1
s997409984,failed
s008878387,pass@3
s144613711,pass@5
s185813191,failed
s222554289,failed
s234638029,pass@1
s285381016,failed
s312667624,pass@3
s387961185,failed
s394618290,pass@1
s771974273,pass@1
s000834186,pass@1
s139086329,pass@1
s227224028,failed
s277592678,pass@5
s475992900,failed
s484306856,pass@1
s499926164,failed
s518000669,failed
s569329761,failed
s673444911,pass@1
s010326499,failed
s053699766,failed
s072739935,pass@3
s304861663,pass@5
s353862024,pass@1
s457063202,pass@1
s625955670,pass@1
s663155927,pass@1
s765571034,pass@1
s972791455,pass@5
s020271710,pass@5
s127516778,failed
s170888657,failed
s323772822,failed
s368474764,failed
s421142068,failed
s424238858,pass@1
s425563894,failed
s502975646,pass@5
s768869070,failed
s026819973,failed
s053858745,failed
s101832115,pass@5
s122031066,pass@1
s499230592,failed
s622118840,failed
s834280627,pass@5
s887553584,pass@5
s919326051,failed
s962355030,failed
s004058109,pass@3
s044640970,failed
s225744325,failed
s241547485,failed
s267279002,failed
s369128079,failed
s585167686,failed
s766976173,failed
s779449621,pass@1
s839935249,failed
s104778345,pass@1
s108659156,failed
s166845896,pass@3
s201307593,pass@3
s212920527,pass@3
s493019358,failed
s522654076,pass@5
s582875838,pass@3
s603658843,failed
s942201556,failed
s186783952,failed
s214129181,pass@1
s242890011,pass@1
s267904831,pass@1
s305140466,failed
s335857805,failed
s358502222,failed
s881337270,pass@5
s937208914,failed
s969896239,failed
s370142383,failed
s370902130,pass@5
s371139050,pass@5
s371862950,failed
s373821703,pass@3
s374238291,pass@1
s374401199,failed
s375411346,failed
s577435334,pass@1
s917320683,failed
s011003325,pass@3
s175165176,pass@1
s287029907,failed
s368269430,failed
s387158249,failed
s421803874,failed
s450230277,pass@1
s471959790,failed
s533043318,failed
s962118174,pass@1
s031239153,pass@1
s034556025,failed
s101840147,failed
s147946678,pass@5
s219792778,pass@5
s249858243,failed
s309823221,pass@1
s368208835,failed
s951772590,pass@1
s999569353,failed
s040490758,pass@3
s072858629,failed
s075107473,pass@1
s194859009,failed
s516362397,failed
s531603545,pass@5
s667967673,failed
s701623370,failed
s824961563,failed
s828189570,pass@3
s002223862,pass@3
s051392851,pass@1
s068896053,failed
s102528889,failed
s242715854,failed
s310753047,pass@1
s871170661,pass@1
s894027058,failed
s946875575,failed
s961867738,pass@5
s021883501,pass@5
s171484205,failed
s250120618,failed
s281043426,pass@3
s430407919,failed
s514309499,pass@1
s570268714,pass@1
s679999662,failed
s739642733,failed
s797633534,failed
s006150245,failed
s017269283,pass@3
s023907632,pass@3
s046097791,pass@1
s116264666,pass@1
s158685220,failed
s198495041,failed
s226123187,failed
s308008730,pass@1
s339041571,pass@1
s103485128,failed
s118986297,failed
s245865840,pass@1
s259885529,failed
s300257469,pass@1
s733095895,failed
s806369748,pass@5
s815371083,failed
s934739140,pass@1
s985129517,failed
s002476885,failed
s045509917,pass@3
s081076036,pass@3
s732501656,pass@3
s761395796,pass@3
s798849352,pass@3
s820095650,pass@1
s918657324,failed
s965611824,pass@1
s995779739,pass@1
